epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.3416666666666667,1.3756986894278378,0.001,0.32,1.5833200547495894
2,0.3,1.3667999275488456,0.001,0.28,1.5849481486778556
3,0.38333333333333336,1.3387480837031533,0.001,0.24,1.5871947826358817
4,0.4000000000000001,1.3454516835818648,0.001,0.24,1.6028752350909596
5,0.33333333333333337,1.3565466521327048,0.001,0.16,1.6009583924987518
6,0.39166666666666666,1.326264325737751,0.001,0.28,1.5978873357186447
7,0.325,1.3398085373108526,0.001,0.24,1.595061845077746
8,0.325,1.368489211526302,0.001,0.3,1.5776548111395599
9,0.33333333333333337,1.3456867604577893,0.001,0.24,1.5913400222414673
10,0.3,1.3602564964400519,0.001,0.24,1.5940238087783374
11,0.3083333333333333,1.3710169000271821,0.001,0.26,1.5686756119682408
12,0.30000000000000004,1.3655354300187048,0.001,0.3,1.5644454772348673
13,0.35,1.357505291184595,0.001,0.42,1.5025274249274756
14,0.325,1.3619174710816313,0.001,0.32,1.5600727823644178
15,0.41666666666666663,1.3282859679454098,0.001,0.3,1.5456364594773333
16,0.2916666666666667,1.360725421201218,0.001,0.32,1.5472993967447488
17,0.37500000000000006,1.3331179748617723,0.001,0.26,1.610258784751679
18,0.4083333333333333,1.3136495289384666,0.001,0.18,1.5705500825960157
19,0.31666666666666665,1.350357367459932,0.001,0.38,1.5368382032599062
20,0.4,1.3133662647318518,0.001,0.4,1.5809752774574253
21,0.425,1.3183925525086297,0.001,0.28,1.551980956741943
22,0.325,1.3442096777275985,0.001,0.26,1.6074056570693254
23,0.3666666666666667,1.3587204326413163,0.001,0.26,1.6112463531883034
24,0.27499999999999997,1.3938437937600519,0.001,0.22,1.587165281984201
25,0.36666666666666664,1.3471075096396248,0.001,0.42,1.520374191091671
26,0.37500000000000006,1.3654636736334904,0.001,0.34,1.5758811548357536
27,0.3916666666666666,1.306843043917965,0.001,0.3,1.5668559633732462
28,0.4333333333333333,1.2945464935929605,0.001,0.22,1.6104395139462406
29,0.2833333333333333,1.3580507316892114,0.001,0.24,1.6250346024948907
30,0.35833333333333334,1.350535655548905,0.0005,0.16,1.6264887792014486
31,0.35,1.3362512308921297,0.0005,0.22,1.6344006499610533
32,0.2833333333333333,1.3734984161939523,0.0005,0.34,1.5413492899526429
33,0.4333333333333334,1.306487003647507,0.0005,0.28,1.5621355634235308
34,0.4,1.3216990890786489,0.0005,0.3,1.5908211899570597
35,0.3833333333333334,1.3373844672822932,0.0005,0.28,1.5642521035711987
36,0.3416666666666667,1.3265446109990866,0.0005,0.3,1.5406458898764703
37,0.36666666666666664,1.3584345856481568,0.0005,0.28,1.5509273360379405
38,0.38333333333333336,1.3307628315652722,0.0005,0.42,1.5494108734424779
39,0.38333333333333336,1.3218631849311242,0.0005,0.32,1.5846988452496942
40,0.3666666666666666,1.3345666067766833,0.0005,0.36,1.543059776329997
41,0.33333333333333337,1.3521760750529457,0.0005,0.3,1.5876772193395623
42,0.4,1.3389972598623128,0.0005,0.32,1.519851846235983
43,0.33333333333333337,1.3298586009754034,0.0005,0.38,1.5279924796243904
44,0.28333333333333327,1.357197238490934,0.0005,0.26,1.5699624416853037
45,0.35,1.336460553137992,0.0005,0.34,1.552489242132008
46,0.31666666666666676,1.3510698563186117,0.0005,0.44,1.5290575417961312
47,0.35000000000000003,1.33223900793206,0.0005,0.24,1.585405101523845
48,0.33333333333333337,1.3343469575898035,0.0005,0.26,1.550562570332629
49,0.35833333333333334,1.3336326515305448,0.0005,0.44,1.5481742413484414
50,0.39166666666666666,1.3267837081691984,0.0005,0.34,1.5254270150277731
